location_code,latitude,longitude,depth,sampleid,time,temp,air_temp,chl_volume_filtered,chl1,avg_chloro,phaeo1,avg_phaeo,phosphate,silicate,nitrite,nitrite_nitrate,ammonium,nitrate,da_volume_filtered,pda,volume_settled_for_counting,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
SW,34.408043,-119.68485,1.0,20170508.0,2017-05-08 14:30:00+00:00,13.6,13.6,188.0,11.012,11.012,0.524,0.524,0.215,1.65,0.0,0.2,2.13,0.2,188.0,0.97,50.0,0.0,0.0,743.0,0.0,200480.0,0.0,109893.0,1485.0,0.0,,,,312600.0,2017-05-08,2017-05-08,2017,5
SW,34.408043,-119.68485,1.0,20170515.0,2017-05-15 14:30:00+00:00,15.9,15.3,188.0,5.494,5.494,2.214,2.214,0.583,2.56,0.0,0.0,2.19,0.0,188.0,0.72842926,50.0,0.0,0.0,0.0,0.0,51976.0,17635.0,31557.0,928.0,0.0,,,,102096.0,2017-05-15,2017-05-15,2017,5
SW,34.408043,-119.68485,1.0,20170522.0,2017-05-22 14:30:00+00:00,15.7,12.4,188.0,5.296,5.296,1.136,1.136,0.344,5.63,0.0,0.0,1.1,0.0,188.0,0.4733206,50.0,0.0,2784.0,0.0,0.0,80749.0,9746.0,33877.0,1856.0,0.0,,,,129012.0,2017-05-22,2017-05-22,2017,5
SW,34.408043,-119.68485,1.0,20170529.0,2017-05-29 15:30:00+00:00,15.6,15.6,188.0,4.083,4.083,1.812,1.812,0.193,0.0,0.0,0.292,19.575,0.292,188.0,4.1892595,50.0,0.0,0.0,928.0,0.0,1392.0,18099.0,130405.0,6497.0,15314.0,,,,172635.0,2017-05-29,2017-05-29,2017,5
SW,34.408043,-119.68485,1.0,20170606.0,2017-06-06 15:00:00+00:00,17.7,15.7,188.0,3.385,3.385,0.635,0.635,0.111,0.0,0.0,0.0,177.924,0.0,188.0,0.21003972,50.0,0.0,0.0,1485.0,0.0,6683.0,60886.0,7425.0,4455.0,7425.0,,,,88360.0,2017-06-06,2017-06-05,2017,6
SW,34.408043,-119.68485,1.0,20170611.0,2017-06-11 15:00:00+00:00,,,188.0,1.948,1.948,0.913,0.913,0.829,8.048,0.126,0.547,9.11,0.421,188.0,0.0,50.0,0.0,0.0,0.0,0.0,743.0,8910.0,0.0,1485.0,2228.0,,,,13365.0,2017-06-11,2017-06-05,2017,6
SW,34.408043,-119.68485,1.0,20170619.0,2017-06-19 14:45:00+00:00,18.5,16.5,188.0,1.44,1.44,0.654,0.654,0.344,2.076,0.0,0.0,3.429,0.0,188.0,0.0,50.0,0.0,0.0,928.0,0.0,10674.0,11602.0,7889.0,11602.0,0.0,,,,42695.0,2017-06-19,2017-06-19,2017,6
SW,34.408043,-119.68485,1.0,20170627.0,2017-06-27 14:30:00+00:00,18.3,17.1,188.0,1.35,1.35,0.87,0.87,0.664,7.972,0.0,0.473,4.831,0.473,188.0,0.0,50.0,0.0,0.0,0.0,464.0,14850.0,0.0,0.0,10210.0,928.0,,,,26452.0,2017-06-27,2017-06-26,2017,6
SW,34.408043,-119.68485,1.0,20170703.0,2017-07-03 14:45:00+00:00,16.5,15.8,188.0,1.3,1.3,0.623,0.623,0.576,6.885,0.0,0.237,3.687,0.237,188.0,0.0,50.0,0.0,0.0,0.0,0.0,9281.0,5569.0,0.0,0.0,0.0,,,,14850.0,2017-07-03,2017-07-03,2017,7
SW,34.408043,-119.68485,1.0,20170710.0,2017-07-10 14:30:00+00:00,17.7,18.4,188.0,2.708,2.708,0.972,0.972,0.582,5.835,0.0,0.35,3.956,0.35,188.0,0.0,50.0,0.0,0.0,1392.0,3249.0,13458.0,0.0,3249.0,3713.0,4641.0,,,,29701.0,2017-07-10,2017-07-10,2017,7
SW,34.408043,-119.68485,1.0,20170717.0,2017-07-17 14:20:00+00:00,18.9,18.6,188.0,1.431,1.431,0.548,0.548,0.408,3.841,0.0,0.223,4.793,0.223,188.0,0.0,50.0,0.0,0.0,0.0,928.0,1856.0,0.0,0.0,4641.0,928.0,,,,8353.0,2017-07-17,2017-07-17,2017,7
SW,34.408043,-119.68485,1.0,20170724.0,2017-07-24 15:00:00+00:00,19.5,18.7,188.0,1.467,1.467,0.245,0.245,0.0,3.535,0.0,0.0,17.157,0.0,188.0,0.0,50.0,0.0,0.0,0.0,1856.0,19955.0,4641.0,6033.0,13922.0,0.0,,,,46407.0,2017-07-24,2017-07-24,2017,7
SW,34.408043,-119.68485,1.0,20170731.0,2017-07-31 14:15:00+00:00,17.6,16.4,188.0,2.063,2.063,0.671,0.671,0.22,5.848,0.0,0.0,3.647,0.0,188.0,0.0,50.0,0.0,0.0,464.0,6961.0,19491.0,928.0,6033.0,11602.0,0.0,,,,45479.0,2017-07-31,2017-07-31,2017,7
SW,34.408043,-119.68485,1.0,20170807.0,2017-08-07 14:30:00+00:00,19.3,17.9,188.0,1.311,1.311,0.75,0.75,0.179,4.524,0.0,0.0,18.43,0.0,188.0,0.0,50.0,0.0,0.0,0.0,4177.0,5569.0,4177.0,1856.0,4641.0,0.0,,,,20419.0,2017-08-07,2017-08-07,2017,8
SW,34.408043,-119.68485,1.0,20170814.0,2017-08-14 14:45:00+00:00,18.7,16.8,188.0,0.945,0.945,0.199,0.199,0.103,2.833,0.0,0.0,0.847,0.0,188.0,0.0,50.0,0.0,0.0,0.0,3713.0,2320.0,5569.0,5569.0,2320.0,0.0,,,,19491.0,2017-08-14,2017-08-14,2017,8
SW,34.408043,-119.68485,1.0,20170821.0,2017-08-21 14:30:00+00:00,17.5,19.8,188.0,1.051,1.051,0.52,0.52,0.462,5.196,0.0,0.0,2.072,0.0,188.0,0.0,50.0,0.0,0.0,0.0,6497.0,928.0,0.0,8817.0,0.0,0.0,,,,16243.0,2017-08-21,2017-08-21,2017,8
SW,34.408043,-119.68485,1.0,20170904.0,2017-09-04 15:30:00+00:00,21.6,22.0,188.0,1.253,1.253,0.296,0.296,0.187,4.138,0.0,0.0,3.942,0.0,188.0,0.0,50.0,0.0,0.0,0.0,18563.0,0.0,0.0,0.0,1856.0,0.0,,,,20419.0,2017-09-04,2017-09-04,2017,9
SW,34.408043,-119.68485,1.0,20170911.0,2017-09-11 14:45:00+00:00,19.0,21.1,188.0,1.133,1.133,0.549,0.549,0.475,5.249,0.0,0.218,3.48,0.218,188.0,0.0,50.0,0.0,0.0,0.0,9281.0,928.0,0.0,0.0,0.0,0.0,,,,10210.0,2017-09-11,2017-09-11,2017,9
SW,34.408043,-119.68485,1.0,20170919.0,2017-09-19 15:30:00+00:00,18.6,19.0,188.0,0.929,0.929,0.257,0.257,0.0,0.0,0.0,0.0,10.119,0.0,188.0,0.0,50.0,0.0,0.0,0.0,928.0,0.0,24596.0,69147.0,928.0,0.0,,,,95599.0,2017-09-19,2017-09-18,2017,9
SW,34.408043,-119.68485,1.0,20170925.0,2017-09-25 15:30:00+00:00,17.2,21.4,188.0,1.348,1.348,0.473,0.473,0.253,3.553,0.0,0.0,14.375,0.0,188.0,0.0,50.0,0.0,0.0,0.0,4177.0,928.0,85854.0,0.0,928.0,464.0,,,,92351.0,2017-09-25,2017-09-25,2017,9
SW,34.408043,-119.68485,1.0,20171003.0,2017-10-03 15:51:00+00:00,17.7,18.4,188.0,11.516,11.516,-0.032,-0.032,0.505,5.356,0.0,0.0,3.499,0.0,188.0,0.0,50.0,0.0,0.0,464.0,242246.0,1856.0,0.0,0.0,0.0,0.0,,,,244567.0,2017-10-03,2017-10-02,2017,10
SW,34.408043,-119.68485,1.0,20171009.0,2017-10-09 15:58:00+00:00,19.0,20.6,188.0,10.894,10.894,-0.036,-0.036,0.332,4.136,0.0,0.0,10.206,0.0,188.0,0.0,50.0,0.0,0.0,0.0,389358.0,4177.0,0.0,0.0,928.0,464.0,,,,394926.0,2017-10-09,2017-10-09,2017,10
SW,34.408043,-119.68485,1.0,20171016.0,2017-10-16 15:54:00+00:00,18.5,25.6,188.0,4.085,4.085,0.3,0.3,0.28,5.282,0.0,0.0,2.149,0.0,188.0,0.0,50.0,0.0,0.0,0.0,94755.0,1856.0,928.0,928.0,3249.0,0.0,,,,101716.0,2017-10-16,2017-10-16,2017,10
SW,34.408043,-119.68485,1.0,20171023.0,2017-10-23 16:03:00+00:00,16.75,24.4,188.0,1.28,1.28,0.289,0.289,0.392,7.2,0.0,0.23,1.132,0.23,188.0,0.0,50.0,0.0,928.0,464.0,12066.0,4177.0,16243.0,3249.0,1856.0,0.0,,,,38983.0,2017-10-23,2017-10-23,2017,10
SW,34.408043,-119.68485,1.0,20171030.0,2017-10-30 16:03:00+00:00,17.4,17.6,188.0,1.404,1.404,0.731,0.731,0.403,4.117,0.0,0.274,1.468,0.274,188.0,0.0,50.0,0.0,0.0,0.0,9746.0,8817.0,62186.0,14850.0,5569.0,464.0,,,,101632.0,2017-10-30,2017-10-30,2017,10
SW,34.408043,-119.68485,1.0,20171106.0,2017-11-06 17:00:00+00:00,17.4,18.0,188.0,0.787,0.787,0.324,0.324,0.335,3.253,0.0,0.0,2.13,0.0,188.0,0.0,50.0,0.0,0.0,0.0,3945.0,928.0,3713.0,9746.0,1956.0,0.0,,,,20288.0,2017-11-06,2017-11-06,2017,11
SW,34.408043,-119.68485,1.0,20171113.0,2017-11-13 16:52:00+00:00,16.3,16.0,188.0,1.569,1.569,0.508,0.508,0.218,1.01,0.0,0.0,1.658,0.0,188.0,0.0,50.0,0.0,0.0,0.0,2784.0,3713.0,50584.0,92351.0,928.0,0.0,,,,150360.0,2017-11-13,2017-11-13,2017,11
SW,34.408043,-119.68485,1.0,20171120.0,2017-11-20 16:57:00+00:00,16.0,18.6,188.0,1.302,1.302,0.669,0.669,0.773,5.127,0.208,0.81,4.478,0.603,188.0,0.0,50.0,0.0,0.0,0.0,7245.0,3249.0,2794.0,14850.0,464.0,0.0,,,,28602.0,2017-11-20,2017-11-20,2017,11
SW,34.408043,-119.68485,1.0,20171127.0,2017-11-27 16:51:00+00:00,16.0,17.0,188.0,4.342,4.342,0.904,0.904,0.577,4.901,0.0,0.343,2.466,0.343,188.0,0.0,50.0,464.0,928.0,0.0,34806.0,21347.0,10674.0,6033.0,1392.0,0.0,,,,75644.0,2017-11-27,2017-11-27,2017,11
SW,34.408043,-119.68485,1.0,20171205.0,2017-12-05 16:58:00+00:00,15.5,16.4,188.0,1.571,1.571,0.528,0.528,0.232,4.752,0.0,0.0,1.585,0.0,188.0,0.0,50.0,0.0,928.0,464.0,51048.0,25524.0,4177.0,7889.0,2320.0,464.0,,,,92814.0,2017-12-05,2017-12-04,2017,12
SW,34.408043,-119.68485,1.0,20171211.0,2017-12-11 16:50:00+00:00,14.6,16.7,188.0,0.71,0.71,0.489,0.489,0.743,5.391,0.282,1.432,38.25,1.15,188.0,0.0,50.0,0.0,0.0,232.0,21579.0,1392.0,3249.0,2320.0,0.0,232.0,,,,29004.0,2017-12-11,2017-12-11,2017,12
SW,34.408043,-119.68485,1.0,20171218.0,2017-12-18 16:52:00+00:00,15.0,17.5,188.0,2.727,2.727,0.619,0.619,0.288,3.481,0.0,0.268,7.511,0.268,188.0,0.0,50.0,0.0,928.0,928.0,28308.0,2784.0,464.0,1392.0,1856.0,1392.0,,,,38052.0,2017-12-18,2017-12-18,2017,12
SW,34.408043,-119.68485,1.0,20171227.0,2017-12-27 17:00:00+00:00,15.0,17.0,188.0,2.888,2.888,0.689,0.689,0.288,4.232,0.0,0.211,1.658,0.211,188.0,0.0,50.0,0.0,0.0,3713.0,26916.0,6497.0,11602.0,928.0,3713.0,1392.0,,,,54761.0,2017-12-27,2017-12-25,2017,12
SW,34.408043,-119.68485,1.0,20180102.0,2018-01-02 15:45:00+00:00,15.0,12.5,188.0,1.397,1.397,0.418,0.418,0.294,4.284,0.0,0.322,10.127,0.322,188.0,0.0,50.0,0.0,0.0,0.0,1392.0,928.0,0.0,0.0,5105.0,0.0,,,,7425.0,2018-01-02,2018-01-01,2018,1
SW,34.408043,-119.68485,1.0,20180108.0,2018-01-08 15:45:00+00:00,15.6,15.7,188.0,0.624,0.624,0.357,0.357,0.472,4.661,0.0,0.395,10.069,0.395,188.0,0.0,50.0,0.0,0.0,0.0,3249.0,1392.0,0.0,0.0,12994.0,0.0,,,,17635.0,2018-01-08,2018-01-08,2018,1
SW,34.408043,-119.68485,1.0,20180115.0,2018-01-15 16:30:00+00:00,15.6,13.6,188.0,0.665,0.665,0.449,0.449,0.533,4.331,0.0,0.516,9.109,0.516,188.0,0.0,50.0,0.0,0.0,0.0,0.0,232.0,3713.0,0.0,464.0,0.0,,,,4409.0,2018-01-15,2018-01-15,2018,1
SW,34.408043,-119.68485,1.0,20180122.0,2018-01-22 15:45:00+00:00,14.1,9.6,188.0,0.493,0.493,0.49,0.49,0.757,7.136,0.185,2.036,12.394,1.851,188.0,0.0,50.0,0.0,0.0,0.0,0.0,232.0,464.0,0.0,0.0,0.0,,,,696.0,2018-01-22,2018-01-22,2018,1
SW,34.408043,-119.68485,1.0,20180129.0,2018-01-29 15:30:00+00:00,,,188.0,1.759,1.759,0.559,0.559,0.407,6.501,0.244,3.317,6.267,3.074,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,83069.0,0.0,0.0,0.0,,,,83069.0,2018-01-29,2018-01-29,2018,1
SW,34.408043,-119.68485,1.0,20180205.0,2018-02-05 17:11:00+00:00,15.0,12.3,188.0,1.063,1.063,0.446,0.446,0.574,3.139,0.0,0.443,11.792,0.443,188.0,0.0,50.0,0.0,1737.0,1448.0,7527.0,3185.0,21713.0,7238.0,3474.0,1448.0,,,,47768.0,2018-02-05,2018-02-05,2018,2
SW,34.408043,-119.68485,1.0,20180213.0,2018-02-13 17:03:00+00:00,14.6,14.0,188.0,1.612,1.612,0.593,0.593,0.315,2.623,0.0,0.0,1.687,0.0,188.0,0.0,50.0,487.0,16775.0,13979.0,72693.0,30755.0,209692.0,69897.0,33551.0,13979.0,,,,461808.0,2018-02-13,2018-02-12,2018,2
SW,34.408043,-119.68485,1.0,20180219.0,2018-02-19 16:00:00+00:00,13.6,10.4,188.0,1.481,1.481,0.945,0.945,0.378,3.633,0.0,0.0,1.185,0.0,188.0,0.0,50.0,0.0,0.0,232.0,232.0,0.0,464.0,0.0,2088.0,0.0,,,,3016.0,2018-02-19,2018-02-19,2018,2
SW,34.408043,-119.68485,1.0,20180226.0,2018-02-26 15:30:00+00:00,11.8,9.6,188.0,0.9,0.9,0.443,0.443,1.088,11.912,0.146,9.589,1.263,9.444,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6080.0,0.0,0.0,,,,6080.0,2018-02-26,2018-02-26,2018,2
SW,34.408043,-119.68485,1.0,20180305.0,2018-03-05 16:30:00+00:00,13.1,14.0,188.0,0.588,0.588,0.423,0.423,0.812,8.02,0.206,4.425,10.794,4.219,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1392.0,6033.0,0.0,0.0,,,,7425.0,2018-03-05,2018-03-05,2018,3
SW,34.408043,-119.68485,1.0,20180312.0,2018-03-12 14:00:00+00:00,14.8,13.9,188.0,2.132,2.132,0.73,0.73,0.284,1.572,0.0,0.0,1.658,0.0,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,92815.0,49006.0,0.0,0.0,,,,141821.0,2018-03-12,2018-03-12,2018,3
SW,34.408043,-119.68485,1.0,20180319.0,2018-03-19 14:00:00+00:00,12.3,7.2,188.0,0.269,0.269,0.397,0.397,1.08,11.337,0.724,8.704,5.049,7.979,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,,,,464.0,2018-03-19,2018-03-19,2018,3
SW,34.408043,-119.68485,1.0,20180326.0,2018-03-26 14:30:00+00:00,11.7,12.9,188.0,0.491,0.491,0.93,0.93,1.199,17.007,0.735,12.108,10.052,11.373,188.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,,,,145.0,2018-03-26,2018-03-26,2018,3
SW,34.408043,-119.68485,1.0,20180402.0,2018-04-02 16:02:00+00:00,13.7,13.2,188.0,2.407,2.407,0.557,0.557,0.834,12.33,0.391,5.601,38.789,5.211,188.0,0.0,50.0,1158.0,1158.0,869.0,22581.0,16502.0,0.0,4343.0,9554.0,290.0,,,,56453.0,2018-04-02,2018-04-02,2018,4
SW,34.408043,-119.68485,1.0,20180409.0,2018-04-09 16:01:00+00:00,16.0,24.2,188.0,2.682,2.682,0.767,0.767,0.43,3.064,0.0,0.217,13.065,0.217,188.0,0.0,50.0,0.0,0.0,0.0,6948.0,6080.0,30108.0,13896.0,290.0,869.0,,,,58190.0,2018-04-09,2018-04-09,2018,4
SW,34.408043,-119.68485,1.0,20180417.0,2018-04-17 16:02:00+00:00,11.1,17.9,188.0,3.058,3.058,1.197,1.197,1.366,13.322,0.248,13.434,37.761,13.186,188.0,0.0,50.0,0.0,0.0,0.0,6948.0,6080.0,30108.0,13896.0,290.0,869.0,,,,58190.0,2018-04-17,2018-04-16,2018,4
SW,34.408043,-119.68485,1.0,20180423.0,2018-04-23 15:57:00+00:00,13.6,14.2,188.0,4.762,4.762,1.502,1.502,0.496,5.633,0.131,4.061,4.576,3.93,188.0,0.0,50.0,290.0,8685.0,1448.0,12449.0,18239.0,29240.0,15923.0,290.0,579.0,,,,87141.0,2018-04-23,2018-04-23,2018,4
SW,34.408043,-119.68485,1.0,20180430.0,2018-04-30 15:56:00+00:00,15.5,18.6,188.0,2.361,2.361,0.603,0.603,0.455,2.121,0.0,0.281,10.735,0.281,188.0,0.0,50.0,0.0,0.0,3185.0,11291.0,93220.0,1448.0,2606.0,2606.0,1158.0,,,,115512.0,2018-04-30,2018-04-30,2018,4
SW,34.408043,-119.68485,1.0,20180507.0,2018-05-07 16:02:00+00:00,14.8,17.0,188.0,3.805,3.805,0.737,0.737,0.93,5.696,0.0,0.866,7.661,0.866,188.0,0.0,50.0,0.0,0.0,5790.0,11870.0,325112.0,869.0,869.0,2606.0,869.0,,,,347983.0,2018-05-07,2018-05-07,2018,5
SW,34.408043,-119.68485,1.0,20180514.0,2018-05-14 15:51:00+00:00,15.0,19.4,188.0,2.086,2.086,0.903,0.903,0.764,7.393,0.0,0.368,6.728,0.368,188.0,0.0,50.0,0.0,11184.0,2796.0,111836.0,1520964.0,50326.0,27959.0,2796.0,27959.0,,,,1755820.0,2018-05-14,2018-05-14,2018,5
SW,34.408043,-119.68485,1.0,20180521.0,2018-05-21 15:57:00+00:00,16.4,17.2,188.0,1.902,1.902,0.576,0.576,0.32,5.401,0.0,0.0,8.963,0.0,188.0,0.0,50.0,0.0,579.0,0.0,8975.0,97563.0,24608.0,5790.0,0.0,1158.0,,,,138672.0,2018-05-21,2018-05-21,2018,5
SW,34.408043,-119.68485,1.0,20180529.0,2018-05-29 16:07:00+00:00,15.7,16.0,188.0,13.493,13.493,1.959,1.959,0.51,11.214,0.0,0.0,15.835,0.0,188.0,0.0,50.0,0.0,1737.0,2316.0,16791.0,673385.0,90036.0,15633.0,2316.0,290.0,,,,802504.0,2018-05-29,2018-05-28,2018,5
SW,34.408043,-119.68485,1.0,20180604.0,2018-06-04 15:54:00+00:00,18.0,16.7,188.0,11.275,11.275,0.94,0.94,0.143,7.127,0.0,0.0,4.946,0.0,188.0,0.0,50.0,0.0,1158.0,869.0,9554.0,451336.0,24608.0,6080.0,2606.0,4922.0,,,,501131.0,2018-06-04,2018-06-04,2018,6
SW,34.408043,-119.68485,1.0,20180611.0,2018-06-11 17:15:00+00:00,19.0,18.6,188.0,1.999,1.999,0.423,0.423,0.958,6.293,0.0,0.382,4.816,0.382,188.0,0.0,50.0,290.0,0.0,0.0,6369.0,130856.0,24897.0,15054.0,0.0,290.0,,,,177755.0,2018-06-11,2018-06-11,2018,6
SW,34.408043,-119.68485,1.0,20180618.0,2018-06-18 15:56:00+00:00,15.4,20.3,188.0,2.2,2.2,0.763,0.763,0.994,8.857,0.114,0.781,15.063,0.666,188.0,0.0,50.0,0.0,1737.0,0.0,28082.0,23160.0,6659.0,4343.0,3764.0,1737.0,,,,69481.0,2018-06-18,2018-06-18,2018,6
SW,34.408043,-119.68485,1.0,20180625.0,2018-06-25 15:58:00+00:00,18.2,18.6,188.0,1.879,1.879,0.88,0.88,0.766,4.883,0.131,0.629,7.749,0.497,188.0,0.0,50.0,0.0,0.0,1448.0,23450.0,50663.0,2316.0,1158.0,2606.0,579.0,,,,82219.0,2018-06-25,2018-06-25,2018,6
SW,34.408043,-119.68485,1.0,20180702.0,2018-07-02 16:03:00+00:00,18.0,16.9,188.0,1.742,1.742,0.889,0.889,0.427,4.893,0.0,0.4,4.405,0.4,188.0,0.0,50.0,0.0,0.0,0.0,13028.0,6080.0,12449.0,3764.0,0.0,1737.0,,,,37056.0,2018-07-02,2018-07-02,2018,7
