location_code,latitude,longitude,depth,sampleid,time,temp,chl_volume_filtered,chl1,chl2,avg_chloro,phaeo1,phaeo2,avg_phaeo,phosphate,silicate,nitrite,nitrite_nitrate,ammonium,nitrate,da_volume_filtered,pda,volume_settled_for_counting,akashiwo_sanguinea,alexandrium_spp,dinophysis_spp,lingulodinium_polyedra,prorocentrum_spp,pseudo_nitzschia_delicatissima_group,pseudo_nitzschia_seriata_group,ceratium_spp,cochlodinium_spp,gymnodinium_spp,other_diatoms,other_dinoflagellates,total_phytoplankton,sample_date,week_start,year,month
CPP,35.170204,-120.740685,0.5,CP170321,2017-03-21 17:25:00+00:00,16.6,100.0,4.5,4.04,4.27,2.38,2.0,2.19,3.67,72.8,0.27934074,43.998783,6.49,43.719444,200.0,0.0,25.0,0.0,1066.1534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0767,13326.918,1066.1534,15992.302,2017-03-21,2017-03-20,2017,3
CPP,35.170204,-120.740685,0.5,CP170327,2017-03-27 16:30:00+00:00,13.0,100.0,1.72,1.56,1.64,0.42,0.38,0.4,0.842,14.9,0.2055435,6.979994,9.72,6.7744503,200.0,0.079456374,25.0,0.0,0.0,0.0,0.0,0.0,533.0767,0.0,533.0767,0.0,0.0,5863.8438,533.0767,7463.074,2017-03-27,2017-03-27,2017,3
CPP,35.170204,-120.740685,0.5,CP170403,2017-04-03 20:00:00+00:00,11.0,100.0,2.3,2.3,2.3,0.62,0.64,0.63,1.27,16.9,0.1942952,14.426175,1.37,14.23188,200.0,0.10077226,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.1534,0.0,1066.1534,2017-04-03,2017-04-03,2017,4
CPP,35.170204,-120.740685,0.5,CP170410,2017-04-10 20:15:00+00:00,12.0,100.0,1.76,1.74,1.75,0.7,0.74,0.72,1.93,28.8,0.11736103,27.997995,3.23,27.880634,200.0,0.36,25.0,0.0,0.0,0.0,0.0,0.0,0.0,15459.225,0.0,0.0,0.0,0.0,2665.3835,18124.61,2017-04-10,2017-04-10,2017,4
CPP,35.170204,-120.740685,0.5,CP170417,2017-04-17 19:50:00+00:00,11.0,100.0,3.72,3.76,3.74,0.76,0.8,0.78,1.18,17.2,0.28614977,16.193838,0.743,15.907687,200.0,0.0,25.0,0.0,4797.6904,0.0,0.0,0.0,0.0,2132.307,0.0,0.0,0.0,2132.307,6396.921,15459.225,2017-04-17,2017-04-17,2017,4
CPP,35.170204,-120.740685,0.5,CP170424,2017-04-24 20:30:00+00:00,12.0,100.0,4.82,4.54,4.68,1.04,1.02,1.03,1.22,16.5,2.8461,15.199434,1.86,12.353333,,,25.0,0.0,0.0,0.0,0.0,0.0,6929.9976,0.0,0.0,0.0,0.0,203635.31,0.0,210565.31,2017-04-24,2017-04-24,2017,4
CPP,35.170204,-120.740685,0.5,CP170501,2017-05-01 19:10:00+00:00,13.1,100.0,11.6,10.1,10.85,1.6,4.0,2.8,0.614,8.12,0.0,6.157221,1.15,6.157221,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408336.78,2132.307,410469.1,2017-05-01,2017-05-01,2017,5
CPP,35.170204,-120.740685,0.5,CP170508,2017-05-08 20:00:00+00:00,12.9,100.0,6.58,6.44,6.51,1.94,1.92,1.93,0.431,8.35,0.0,3.7263565,1.41,3.7263565,,,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11727.6875,0.0,0.0,0.0,295324.5,533.0767,307585.28,2017-05-08,2017-05-08,2017,5
CPP,35.170204,-120.740685,0.5,CP170515,2017-05-15 20:30:00+00:00,11.5,100.0,9.6,9.6,9.6,2.8,2.7,2.75,0.992,6.71,0.12885441,8.567242,1.86,8.438388,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,13859.995,0.0,0.0,0.0,0.0,1038433.44,3198.4604,1055491.9,2017-05-15,2017-05-15,2017,5
CPP,35.170204,-120.740685,0.5,CP170522,2017-05-22 21:00:00+00:00,16.1,100.0,3.12,3.44,3.28,2.02,1.34,1.68,0.25646588,2.0720162,0.0,1.5475154,4.7735176,1.5475154,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,77829.2,8529.228,0.0,0.0,0.0,441387.53,4264.614,532010.56,2017-05-22,2017-05-22,2017,5
CPP,35.170204,-120.740685,0.5,CP170529,2017-05-29 21:30:00+00:00,15.4,100.0,2.02,1.96,1.99,0.54,0.64,0.59,1.4372495,16.456993,0.45014074,14.409176,4.7781944,13.959035,200.0,0.0,25.0,0.0,8529.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160989.17,4797.6904,174316.1,2017-05-29,2017-05-29,2017,5
CPP,35.170204,-120.740685,0.5,CP170605,2017-06-05 20:00:00+00:00,16.1,100.0,12.7,13.3,13.0,2.1,1.7,1.9,0.48789558,11.968238,0.2695563,3.5045626,1.3786728,3.235006,200.0,0.0,25.0,0.0,3198.4604,2132.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359293.72,2132.307,366756.78,2017-06-05,2017-06-05,2017,6
CPP,35.170204,-120.740685,0.5,CP170612,2017-06-12 19:00:00+00:00,12.1,100.0,10.6,10.6,10.6,4.8,4.5,4.65,1.1658317,14.816669,0.39974275,8.572172,10.762879,8.172429,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,5330.767,0.0,0.0,0.0,0.0,63969.207,1066.1534,70366.125,2017-06-12,2017-06-12,2017,6
CPP,35.170204,-120.740685,0.5,CP170619,2017-06-19 18:00:00+00:00,15.6,100.0,5.75,6.57,6.16,3.3,2.86,3.08,0.32329604,3.4348254,0.0,2.5602765,4.734161,2.5602765,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,1066.1534,0.0,0.0,0.0,0.0,390212.16,4264.614,395542.94,2017-06-19,2017-06-19,2017,6
CPP,35.170204,-120.740685,0.5,CP170626,2017-06-26 21:30:00+00:00,17.2,100.0,2.5,2.32,2.41,0.72,0.54,0.63,2.930824,5.6006474,0.12534118,4.748805,3.6733534,4.6234636,200.0,0.0,25.0,0.0,105016.12,1066.1534,0.0,2132.307,0.0,0.0,1599.2302,0.0,0.0,3198.4604,9595.381,122607.65,2017-06-26,2017-06-26,2017,6
CPP,35.170204,-120.740685,0.5,CP170703,2017-07-03 17:00:00+00:00,13.8,100.0,3.4,4.64,4.02,1.28,1.24,1.26,1.5521641,92.597725,0.28635195,12.817141,6.6930137,12.530788,200.0,0.0,25.0,0.0,0.0,6929.9976,0.0,1066.1534,2665.3835,0.0,1066.1534,0.0,0.0,12260.765,9595.381,33583.832,2017-07-03,2017-07-03,2017,7
CPP,35.170204,-120.740685,0.5,CP170710,2017-07-10 13:30:00+00:00,15.3,100.0,6.99,8.0,7.5,2.12,2.4,2.26,1.4247165,9.897092,0.42807338,9.551743,17.10572,9.12367,200.0,0.0,25.0,0.0,533.0767,2665.3835,0.0,4264.614,0.0,0.0,5330.767,35183.062,0.0,2132.307,14926.148,65035.36,2017-07-10,2017-07-10,2017,7
CPP,35.170204,-120.740685,0.5,CP170717,2017-07-17 13:30:00+00:00,16.5,100.0,15.9,14.1,15.0,3.0,3.1,3.05,0.73944753,8.205932,0.24248384,5.7271347,3.2205548,5.4846506,200.0,0.0,25.0,0.0,3198.4604,1066.1534,0.0,3198.4604,4264.614,0.0,25587.684,198304.55,0.0,36249.22,11727.6875,283596.8,2017-07-17,2017-07-17,2017,7
CPP,35.170204,-120.740685,0.5,CP170724,2017-07-24 14:30:00+00:00,15.8,100.0,19.0,12.4,15.7,1.0,8.5,4.75,0.61828446,11.450417,0.13571519,5.3479986,4.6453185,5.2122836,200.0,0.059681207,25.0,0.0,3198.4604,1599.2302,0.0,3198.4604,3198.4604,0.0,22922.299,18124.61,0.0,114611.49,3198.4604,170051.47,2017-07-24,2017-07-24,2017,7
CPP,35.170204,-120.740685,0.5,CP170731,2017-07-31 14:30:00+00:00,16.1,100.0,19.0,22.2,20.6,5.5,4.6,5.05,0.3604703,10.034999,0.0,1.4735798,3.9611099,1.4735798,200.0,0.0,25.0,0.0,25587.684,3198.4604,0.0,0.0,0.0,0.0,40513.832,79961.51,1066.1534,4264.614,12793.842,167386.1,2017-07-31,2017-07-31,2017,7
CPP,35.170204,-120.740685,0.5,CP170807,2017-08-07 13:30:00+00:00,16.1,100.0,36.6,33.7,35.15,3.2,7.2,5.2,0.7564678,15.420972,0.20665582,3.4922867,5.250654,3.285631,200.0,0.0,25.0,0.0,2132.307,9595.381,0.0,3198.4604,0.0,0.0,35183.062,584252.06,0.0,1066.1534,18124.61,653552.06,2017-08-07,2017-08-07,2017,8
CPP,35.170204,-120.740685,0.5,CP170814,2017-08-14 13:30:00+00:00,15.6,100.0,7.64,8.02,7.83,1.92,2.54,2.23,1.009371,18.702024,0.18187061,6.4714293,2.8707445,6.2895584,200.0,0.0,25.0,0.0,0.0,1066.1534,0.0,0.0,0.0,0.0,41579.984,17591.531,0.0,53840.75,18124.61,132203.03,2017-08-14,2017-08-14,2017,8
CPP,35.170204,-120.740685,0.5,CP170821,2017-08-21 13:30:00+00:00,16.5,100.0,24.1,25.5,24.8,6.1,4.4,5.25,1.8930216,19.479252,0.37084016,17.45867,3.5483813,17.08783,200.0,0.0,25.0,0.0,4264.614,105549.195,0.0,5330.767,0.0,0.0,229222.98,12793.842,0.0,1066.1534,51175.367,409402.94,2017-08-21,2017-08-21,2017,8
CPP,35.170204,-120.740685,0.5,CP170828,2017-08-28 14:00:00+00:00,16.6,100.0,6.16,5.09,5.63,1.28,1.42,1.35,0.45295691,10.587433,0.11558237,3.3498871,13.178859,3.234305,200.0,0.0,25.0,0.0,4264.614,26653.836,0.0,27719.99,0.0,0.0,24521.53,10661.534,0.0,0.0,124739.95,192973.78,2017-08-28,2017-08-28,2017,8
CPP,35.170204,-120.740685,0.5,CP170905,2017-09-05 17:30:00+00:00,16.5,100.0,28.1,26.0,27.05,3.3,5.3,4.3,1.220093,26.73589,0.47860095,9.559088,1.5081187,9.080487,200.0,0.0,25.0,2132.307,0.0,8529.228,75696.9,186576.86,0.0,0.0,13859.995,8529.228,0.0,3198.4604,15992.302,314515.28,2017-09-05,2017-09-04,2017,9
CPP,35.170204,-120.740685,0.5,CP170911,2017-09-11 17:30:00+00:00,18.2,100.0,3.88,4.74,4.31,0.88,1.18,1.03,0.600575,9.638225,0.118634485,1.9779521,3.1447194,1.8593177,200.0,0.0,25.0,0.0,0.0,0.0,0.0,81560.74,2132.307,0.0,533.0767,3731.537,0.0,13326.918,0.0,101284.58,2017-09-11,2017-09-11,2017,9
CPP,35.170204,-120.740685,0.5,CP170918,2017-09-18 14:00:00+00:00,16.0,100.0,1.34,2.12,1.73,1.96,1.18,1.57,0.3534023,8.309464,0.0,1.9197592,1.6765935,1.9197592,200.0,0.0,25.0,0.0,0.0,0.0,4264.614,7996.151,0.0,0.0,0.0,3198.4604,0.0,533.0767,10128.458,26120.76,2017-09-18,2017-09-18,2017,9
CPP,35.170204,-120.740685,0.5,CP170925,2017-09-25 14:20:00+00:00,13.5,100.0,9.06,8.72,8.89,1.64,1.46,1.55,1.0364842,14.471368,0.29540184,7.7534766,3.2959285,7.4580746,200.0,0.0,25.0,1066.1534,12793.842,2132.307,6396.921,2132.307,0.0,0.0,533.0767,4797.6904,0.0,4797.6904,3198.4604,37848.45,2017-09-25,2017-09-25,2017,9
CPP,35.170204,-120.740685,0.5,CP171002,2017-10-02 14:00:00+00:00,14.0,100.0,13.0,13.8,13.4,3.2,2.5,2.85,0.62047666,11.536718,0.0,4.50103,0.8290331,4.50103,200.0,0.0,25.0,0.0,0.0,4264.614,20256.916,17058.455,0.0,0.0,17058.455,66101.516,0.0,1066.1534,20256.916,146063.02,2017-10-02,2017-10-02,2017,10
CPP,35.170204,-120.740685,0.5,CP171009,2017-10-09 15:00:00+00:00,14.7,100.0,34.4,38.0,36.2,7.8,9.6,8.7,0.8223737,11.795629,0.16024868,1.4333576,3.2037246,1.2731088,200.0,0.0,25.0,2132.307,6396.921,2132.307,464842.9,9595.381,0.0,0.0,14926.148,106615.34,0.0,0.0,60770.746,667412.06,2017-10-09,2017-10-09,2017,10
CPP,35.170204,-120.740685,0.5,CP171016,2017-10-16 15:00:00+00:00,15.21,100.0,14.7,13.8,14.25,3.0,2.4,2.7,0.31776005,9.724513,0.0,0.31399235,0.42648745,0.31399235,200.0,0.0,25.0,7463.074,0.0,0.0,117276.88,8529.228,0.0,0.0,2665.3835,17591.531,0.0,533.0767,5863.8438,159923.02,2017-10-16,2017-10-16,2017,10
CPP,35.170204,-120.740685,0.5,CP171023,2017-10-23 14:00:00+00:00,14.8,100.0,2.36,3.12,2.74,1.48,1.74,1.61,1.5981438,13.176578,0.19373405,5.103359,3.2423098,4.9096255,,,25.0,0.0,0.0,0.0,5863.8438,1066.1534,0.0,0.0,2132.307,4264.614,0.0,1599.2302,5863.8438,20789.992,2017-10-23,2017-10-23,2017,10
CPP,35.170204,-120.740685,0.5,CP171030,2017-10-30 14:00:00+00:00,13.3,100.0,54.6,55.0,54.8,12.8,10.4,11.6,0.8274307,13.262893,0.17698364,3.4668577,2.3545568,3.289874,200.0,0.0,25.0,37315.37,0.0,2132.307,140732.25,10661.534,0.0,0.0,6396.921,23455.375,0.0,0.0,8529.228,229222.98,2017-10-30,2017-10-30,2017,10
CPP,35.170204,-120.740685,0.5,CP171106,2017-11-06 15:00:00+00:00,13.4,100.0,55.4,54.5,54.95,8.2,10.0,9.1,0.9111029,10.069674,0.2021984,5.1088767,3.8684273,4.906678,200.0,0.0,25.0,12793.842,0.0,4264.614,94887.66,40513.832,0.0,0.0,23455.375,10661.534,0.0,0.0,67167.664,253744.52,2017-11-06,2017-11-06,2017,11
CPP,35.170204,-120.740685,0.5,CP171113,2017-11-13 15:30:00+00:00,13.6,100.0,47.7,42.3,45.0,6.6,18.4,12.5,0.5385475,7.4812236,0.0,3.7993324,1.2996022,3.7993324,200.0,0.0,25.0,39447.676,0.0,4264.614,3198.4604,13859.995,0.0,0.0,10661.534,30918.45,0.0,0.0,18124.61,120475.34,2017-11-13,2017-11-13,2017,11
CPP,35.170204,-120.740685,0.5,CP171120,2017-11-20 18:30:00+00:00,13.0,100.0,10.7,10.2,10.45,2.1,2.2,2.15,0.88626444,8.689095,0.4250357,6.809125,1.9185898,6.384089,200.0,0.0,25.0,21856.146,0.0,0.0,0.0,2132.307,7463.074,0.0,4264.614,16525.379,0.0,9062.305,13326.918,74630.74,2017-11-20,2017-11-20,2017,11
CPP,35.170204,-120.740685,0.5,CP171127,2017-11-27 15:30:00+00:00,13.9,100.0,66.6,63.7,65.15,7.8,9.6,8.7,1.1616582,9.120508,0.25049537,0.78420204,1.6350815,0.53370667,200.0,0.0,25.0,61836.9,0.0,3198.4604,0.0,22389.223,0.0,0.0,8529.228,93821.5,1066.1534,0.0,31984.604,222826.08,2017-11-27,2017-11-27,2017,11
CPP,35.170204,-120.740685,0.5,CP171204,2017-12-04 16:30:00+00:00,11.0,100.0,3.58,4.06,3.82,1.54,1.76,1.65,,,,,,,,,25.0,3731.537,0.0,0.0,0.0,0.0,1599.2302,0.0,533.0767,3198.4604,0.0,18124.61,1599.2302,28786.143,2017-12-04,2017-12-04,2017,12
CPP,35.170204,-120.740685,0.5,CP171211,2017-12-11 20:30:00+00:00,15.8,100.0,3.56,3.36,3.46,0.8,1.1,0.95,0.8982574,8.663332,0.20465359,8.456438,0.7050463,8.251784,200.0,0.0,25.0,5863.8438,0.0,1066.1534,3198.4604,3731.537,0.0,0.0,0.0,8529.228,0.0,1066.1534,1066.1534,24521.53,2017-12-11,2017-12-11,2017,12
CPP,35.170204,-120.740685,0.5,CP171218,2017-12-18 19:30:00+00:00,13.1,100.0,2.56,2.66,2.61,0.86,1.04,0.95,0.63504446,13.665192,0.26044714,2.3145971,2.5773306,2.05415,200.0,0.0,25.0,1599.2302,2132.307,0.0,533.0767,1066.1534,0.0,0.0,0.0,0.0,0.0,13326.918,3198.4604,21856.146,2017-12-18,2017-12-18,2017,12
CPP,35.170204,-120.740685,0.5,CP171226,2017-12-26 20:00:00+00:00,13.1,100.0,3.64,3.64,3.64,1.48,1.5,1.49,3.2281137,6.8861527,0.2517642,4.4974895,7.4370794,4.245725,200.0,0.0,25.0,0.0,0.0,0.0,7463.074,2132.307,2132.307,0.0,1066.1534,5330.767,0.0,3198.4604,17058.455,38381.523,2017-12-26,2017-12-25,2017,12
CPP,35.170204,-120.740685,0.5,CP180102,2018-01-02 19:00:00+00:00,13.5,100.0,8.7,9.4,9.05,2.02,2.6,2.31,0.4644481,4.755943,0.116815254,2.3145769,2.0321133,2.1977618,200.0,0.0,25.0,8529.228,0.0,2132.307,26653.836,2132.307,21323.068,0.0,1066.1534,6396.921,8529.228,9595.381,33050.758,118343.03,2018-01-02,2018-01-01,2018,1
CPP,35.170204,-120.740685,0.5,CP180115,2018-01-15 19:00:00+00:00,13.9,100.0,3.2,3.18,3.19,1.08,1.14,1.11,0.7280104,9.3428,0.28675228,5.319555,1.6207812,5.0328026,200.0,0.0,25.0,2665.3835,0.0,533.0767,1599.2302,6929.9976,2132.307,0.0,0.0,0.0,0.0,2665.3835,2665.3835,18657.686,2018-01-15,2018-01-15,2018,1
CPP,35.170204,-120.740685,0.5,CP180122,2018-01-23 00:30:00+00:00,13.7,100.0,1.44,1.58,1.51,0.88,0.92,0.9,0.70178705,7.907074,0.40282455,5.5559244,2.122552,5.1531,200.0,0.0,25.0,0.0,0.0,0.0,0.0,533.0767,0.0,0.0,533.0767,0.0,1066.1534,533.0767,533.0767,3198.4604,2018-01-23,2018-01-22,2018,1
CPP,35.170204,-120.740685,0.5,CP180129,2018-01-30 01:00:00+00:00,13.0,100.0,5.96,6.16,6.06,1.52,1.34,1.43,1.3255641,16.800274,0.4977167,17.674915,2.145788,17.177198,200.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,2665.3835,0.0,0.0,0.0,0.0,30385.373,0.0,33050.758,2018-01-30,2018-01-29,2018,1
CPP,35.170204,-120.740685,0.5,CP180205,2018-02-06 01:00:00+00:00,14.2,100.0,10.1,14.6,12.35,0.9,1.9,1.4,0.38960376,7.985462,0.0,2.0117614,1.629125,2.0117614,200.0,0.0,25.0,5863.8438,31451.527,3731.537,1066.1534,4264.614,0.0,0.0,0.0,0.0,0.0,16525.379,7463.074,70366.125,2018-02-06,2018-02-05,2018,2
CPP,35.170204,-120.740685,0.5,CP180212,2018-02-13 00:45:00+00:00,13.1,100.0,4.02,3.65,3.84,4.07,1.02,1.04,0.5156187,9.815009,0.0,3.7028396,1.3918455,3.7028396,200.0,0.0,25.0,3731.537,0.0,2665.3835,9595.381,1599.2302,0.0,0.0,1066.1534,0.0,0.0,7996.151,3198.4604,29852.297,2018-02-13,2018-02-12,2018,2
CPP,35.170204,-120.740685,0.5,CP180219,2018-02-20 00:30:00+00:00,12.1,100.0,3.69,4.05,3.87,1.03,1.1,1.07,0.75448394,45.638557,0.22310434,5.0669117,1.7127163,4.843807,200.0,0.0,25.0,3198.4604,0.0,0.0,1599.2302,0.0,0.0,0.0,533.0767,0.0,0.0,10661.534,0.0,15992.302,2018-02-20,2018-02-19,2018,2
CPP,35.170204,-120.740685,0.5,CP180226,2018-02-26 08:00:00+00:00,11.1,100.0,3.112,3.186,3.149,1.04,0.91,0.97,0.96718246,13.909362,0.34143034,13.214529,1.2874303,12.873099,200.0,0.0,25.0,2132.307,0.0,0.0,0.0,0.0,2132.307,0.0,0.0,0.0,0.0,37848.45,533.0767,42646.137,2018-02-26,2018-02-26,2018,2
CPP,35.170204,-120.740685,0.5,CP180305,2018-03-06 00:35:00+00:00,12.0,100.0,2.49,2.77,2.63,0.51,0.66,0.58,0.86283195,12.043052,0.2822716,11.025511,0.82929647,10.743239,200.0,0.0,25.0,2665.3835,0.0,1066.1534,5330.767,533.0767,4264.614,0.0,0.0,0.0,0.0,43179.215,3198.4604,60237.67,2018-03-06,2018-03-05,2018,3
CPP,35.170204,-120.740685,0.5,CP180312,2018-03-13 00:15:00+00:00,13.2,100.0,6.15,5.97,6.06,1.07,0.95,1.01,0.5143667,8.80259,0.23720632,4.8875613,1.1000417,4.6503553,200.0,0.0,25.0,533.0767,10661.534,4264.614,3731.537,533.0767,25054.605,2132.307,1599.2302,0.0,0.0,140199.17,3198.4604,191907.62,2018-03-13,2018-03-12,2018,3
CPP,35.170204,-120.740685,0.5,CP180319,2018-03-19 22:40:00+00:00,12.8,100.0,4.74,5.0,4.87,1.18,1.14,1.16,0.4522853,7.4568415,0.12840798,2.001332,2.9521554,1.8729241,200.0,0.0,25.0,1599.2302,0.0,533.0767,0.0,0.0,22922.299,0.0,3731.537,0.0,0.0,275600.66,0.0,304386.8,2018-03-19,2018-03-19,2018,3
CPP,35.170204,-120.740685,0.5,CP180326,2018-03-26 23:45:00+00:00,12.1,100.0,1.44,1.62,1.53,0.48,0.42,0.45,0.83829296,11.940728,0.26184273,7.6213975,2.1973631,7.359555,200.0,0.0,25.0,0.0,0.0,533.0767,2132.307,1066.1534,0.0,0.0,2665.3835,0.0,0.0,38914.6,533.0767,45844.598,2018-03-26,2018-03-26,2018,3
CPP,35.170204,-120.740685,0.5,CP180402,2018-04-03 00:00:00+00:00,14.0,100.0,4.16,4.14,4.15,1.08,1.1,1.09,0.22339597,4.9024835,0.0,1.1973405,0.34401834,1.1973405,200.0,0.0,25.0,0.0,0.0,1599.2302,533.0767,533.0767,5863.8438,1599.2302,1066.1534,0.0,0.0,199903.77,51708.44,262806.8,2018-04-03,2018-04-02,2018,4
CPP,35.170204,-120.740685,0.5,CP180409,2018-04-10 00:00:00+00:00,14.1,100.0,2.44,2.86,2.65,0.94,1.02,0.98,1.6459405,18.010237,0.4423121,19.367647,2.7248046,18.925335,200.0,0.0,25.0,0.0,0.0,0.0,533.0767,533.0767,0.0,0.0,0.0,0.0,0.0,188176.08,1066.1534,190308.39,2018-04-10,2018-04-09,2018,4
CPP,35.170204,-120.740685,0.5,CP180416,2018-04-17 00:00:00+00:00,11.3,100.0,2.58,2.32,2.45,1.04,1.02,1.03,1.5381037,16.803072,0.3205306,15.173238,2.301758,14.852707,200.0,0.0,25.0,533.0767,0.0,533.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45844.598,1066.1534,47976.906,2018-04-17,2018-04-16,2018,4
CPP,35.170204,-120.740685,0.5,CP180423,2018-04-24 00:00:00+00:00,14.6,100.0,6.76,6.72,6.74,2.64,2.86,2.75,0.21945456,0.0,0.0,1.365846,0.5090732,1.365846,200.0,0.0,25.0,0.0,0.0,533.0767,0.0,0.0,11194.611,0.0,0.0,0.0,0.0,663147.44,15992.302,690867.44,2018-04-24,2018-04-23,2018,4
CPP,35.170204,-120.740685,0.5,CP180430,2018-05-01 00:00:00+00:00,11.7,100.0,1.76,1.68,1.72,1.26,1.32,1.29,1.9899744,19.360046,0.33452553,17.744894,4.9123755,17.41037,200.0,0.0,25.0,0.0,0.0,533.0767,0.0,0.0,2132.307,0.0,0.0,0.0,0.0,6396.921,1066.1534,10128.458,2018-05-01,2018-04-30,2018,5
